0.004753682,3.17E-04,2.93E-03,-0.009628302,-5.97E-05,-3.12E-05,0.002543721,0.003552749,-3.11E-04,-3.67E-04,0,0,0,0,0
0.000317276,5.22E-03,-1.09E-03,-0.003481722,8.24E-06,7.58E-04,-0.003693273,-0.000683745,1.82E-04,-2.72E-04,0,0,0,0,0
0.002930852,-1.09E-03,4.50E-02,0.000459938,-4.94E-05,2.69E-04,7.77E-03,0.013144414,1.31E-04,-0.000406073,0,0,0,0,0
-0.009628302,-3.48E-03,4.60E-04,0.039570865,1.77E-04,-3.46E-04,0.002881953,-0.002080636,-0.000696096,0.000401565,0,0,0,0,0
-5.97E-05,8.24E-06,-4.94E-05,1.77E-04,1.06E-04,-6.43E-06,-6.50E-05,-6.25E-05,-1.36E-05,1.44E-05,0,0,0,0,0
-3.12E-05,7.58E-04,2.69E-04,-3.46E-04,-6.43E-06,9.38E-04,-4.39E-04,3.74E-05,7.57E-05,2.82E-05,0,0,0,0,0
0.002543721,-3.69E-03,7.77E-03,0.002881953,-6.50E-05,-4.39E-04,0.013967675,0.006401037,-7.07E-04,-2.03E-05,0,0,0,0,0
0.003552749,-6.84E-04,1.31E-02,-0.002080636,-6.25E-05,3.74E-05,0.006401037,0.014327319,9.67E-05,-0.000237465,0,0,0,0,0
-3.11E-04,1.82E-04,1.31E-04,-6.96E-04,-1.36E-05,7.57E-05,-7.07E-04,9.67E-05,0.000620151,7.33E-05,0,0,0,0,0
-3.67E-04,-2.72E-04,-4.06E-04,0.000401565,1.44E-05,2.82E-05,-2.03E-05,-0.000237465,7.33E-05,0.000687557,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.00003,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.00003,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001
