0.013818701,-2.50E-04,-6.77E-04,-0.016401016,1.48E-05,-4.59E-04,0.000562,0.000668754,1.55E-04,-7.47E-04,0,0,0,0,0
-0.000249928,2.23E-02,1.65E-03,-0.000115303,7.62E-05,2.11E-02,-0.000423312,0.000390559,1.99E-04,-1.53E-04,0,0,0,0,0
-0.000677392,1.65E-03,1.34E-02,0.001255155,-1.31E-05,1.77E-03,-2.30E-04,0.000254751,-2.32E-06,-0.000183904,0,0,0,0,0
-0.016401016,-1.15E-04,1.26E-03,0.029970849,2.16E-05,6.00E-05,-0.000152574,0.004547804,-0.000444326,0.00080156,0,0,0,0,0
1.48E-05,7.62E-05,-1.31E-05,2.16E-05,1.78E-04,5.40E-05,8.42E-05,-3.45E-05,-1.28E-05,1.40E-05,0,0,0,0,0
-4.59E-04,2.11E-02,1.77E-03,6.00E-05,5.40E-05,2.29E-02,-3.10E-04,2.34E-04,1.36E-04,2.87E-04,0,0,0,0,0
0.000562,-4.23E-04,-2.30E-04,-0.000152574,8.42E-05,-3.10E-04,0.000727207,0.000102701,-3.68E-05,1.45E-04,0,0,0,0,0
0.000668754,3.91E-04,2.55E-04,0.004547804,-3.45E-05,2.34E-04,0.000102701,0.005988115,1.68E-05,-0.00012896,0,0,0,0,0
1.55E-04,1.99E-04,-2.32E-06,-4.44E-04,-1.28E-05,1.36E-04,-3.68E-05,1.68E-05,0.000196975,-5.54E-06,0,0,0,0,0
-7.47E-04,-1.53E-04,-1.84E-04,0.00080156,1.40E-05,2.87E-04,1.45E-04,-0.00012896,-5.54E-06,0.000633886,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.00003,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.00003,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001
