0.005047,0.000713,-0.005105,-0.010227,0.000004,0.000088,0.001990,0.003865,0.000007,-0.000292,0.000000,0.000000,0.000000
0.000713,0.004742,-0.001972,-0.004438,0.000049,0.000883,-0.003006,-0.000781,0.000197,-0.000004,0.000000,0.000000,0.000000
-0.005105,-0.001972,0.013459,0.017531,-0.000057,-0.000822,-0.000764,-0.001589,-0.000239,0.000150,0.000000,0.000000,0.000000
-0.010227,-0.004438,0.017531,0.037350,-0.000044,-0.000637,0.002874,-0.001430,-0.000621,0.000217,0.000000,0.000000,0.000000
0.000004,0.000049,-0.000057,-0.000044,0.000105,0.000046,-0.000079,0.000015,0.000009,-0.000010,0.000000,0.000000,0.000000
0.000088,0.000883,-0.000822,-0.000637,0.000046,0.001060,-0.000283,0.000164,0.000016,-0.000013,0.000000,0.000000,0.000000
0.001990,-0.003006,-0.000764,0.002874,-0.000079,-0.000283,0.013404,0.007051,-0.000382,0.000009,0.000000,0.000000,0.000000
0.003865,-0.000781,-0.001589,-0.001430,0.000015,0.000164,0.007051,0.015511,-0.000410,-0.000465,0.000000,0.000000,0.000000
0.000007,0.000197,-0.000239,-0.000621,0.000009,0.000016,-0.000382,-0.000410,0.000365,0.000004,0.000000,0.000000,0.000000
-0.000292,-0.000004,0.000150,0.000217,-0.000010,-0.000013,0.000009,-0.000465,0.000004,0.000525,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100
